id;name;description;year;rating;complexity;minplayers;maxplayers;playingtime;minage;categories;clean_description
540;Sisimizi;"Players are competing ant colonies that are attempting to link all of their ant mounds together.  Players attempt to create chains of ants from one ant mound to the next while also trying to cut off other players chains.&#10;&#10;";1996;6.28809;1.9565;2;4;45;10;Abstract Strategy, Animals;compete ant colony attempt link ant mound attempt create chain ant ant mound try cut chain
542;Animocrazy;"How can the Jolly Pets resist the big bag of candies right in front of them? Everything goes well at the beginning when they calmly agree on the same amount of candies for each of them, but soon they come up with more and more ideas and a debate starts&hellip; the Pig says,&ldquo;Those who weigh over 10kg should get an extra candy!&rdquo;... the Dog says, &ldquo;Whoever oversleeps should return a candy to the pool!&rdquo; To resolve their hectic argument, they finally decide to form the House of Pets, at which the animal councilors will discuss proposals and vote on new laws. Who can get the most delicious candies in this exciting voting game?&#10;&#10;Based on Karl-Heinz Schmiel's Das Regeln Wir Schon, players attempt to pass laws which benefit themselves.  The laws are either immediate or semi-permanent, and they can have all kinds of different effects: all players with beards get five points, vote cards must be played with the left hand, or some sort of re-evaluation or redistribution of the chips that each player has.  The chips are the main way that players score, but their worth fluctuates constantly.  On a turn, a player draws a card and then proposes a vote, and this continues until the End card is drawn.&#10;&#10;A winner of the 1999 Concours International de Cr&#195;&#169;ateurs de Jeux de Soci&#195;&#169;t&#195;&#169;.&#10;&#10;";2000;5.53429;1.2844;4;10;30;10;Card Game, Party Game;jolly pet resist big bag candy right go beginning calmly agree candy soon come idea debate start hellip pig say ldquo weigh kg extra candy rdquo dog say ldquo oversleep return candy pool rdquo resolve hectic argument finally decide form house pet animal councilor discuss proposal vote new law delicious candy exciting voting base karl heinz schmiel das regeln wir schon attempt pass law benefit law immediate semi permanent kind different effect beard vote card left hand sort evaluation redistribution chip chip main way worth fluctuate constantly draw card propose vote continue end card draw winner concour international de cr ateurs de jeux de soci t
548;Buck Rogers: Battle for the 25th Century Game;"Fight for control of the twenty-fifth century Inner Solar System as imagined in the 1950s in this strategy game which is a close relative of Axis &amp; Allies. The map board's Solar System Display keeps track of the 4 inner planets (Mercury through Mars) and the 9 larger asteroids along their orbits. The rest of the board is taken up by the various territorial displays; the larger planets are subdivided, plus there is Deimos around Mars, the Moon, L-4 and L-5 around Earth and Mercury's two artificial satellites --for a total of 42 territories.&#10;&#10;Leader Characters each have special powers. Troopers represent the grunts --infantry workhorses and cannon fodder. &quot;Gennies&quot; are Genetically Engineered fighters; they are stronger than Troopers but cannot leave the planet for which they were designed. Transport ships carry troops and factories between planets. War ships come as Fighters and Battlers (i.e., Bombers). Killer Satellites play the role of air defense. Factories make all these pieces - although you do have a Black Market option.&#10;&#10;As the planets move through their orbits you must plan your own moves well in advance to exploit planetary conjunctions. The movement rules consider not only the ship movements in the planet's orbits, but also the respective revolutions of the planets around the sun, and allow players to plan some nice surprises when two planets are near one another, which usually happens only once or twice in the game.&#10;&#10;Upgraded by:&#10;&#10;    Buck Rogers 2.0&#10;&#10;&#10;";1988;6.48565;2.6757;2;6;120;10;Comic Book / Strip, Movies / TV / Radio theme, Science Fiction, Wargame;fight fifth century inner solar imagine strategy close relative axis amp ally map solar display keep track inner planet mercury mar large asteroid orbit rest take territorial display large planet subdivide plus deimo mar moon l l earth mercury artificial satellite total territory leader character special power trooper represent grunt infantry workhorse cannon fodder gennie genetically engineer fighter strong trooper leave planet transport ship carry troop factory planet war ship come fighter battler e bomber killer satellite role air defense factory piece black market option planet orbit plan advance exploit planetary conjunction consider ship planet orbit respective revolution planet sun allow plan nice surprise planet near usually happen twice upgrade buck roger
550;Barbarossa;"Barbarossa, in Italian &quot;red beard&quot; was, according to its inventor, inspired by Patricia McKillip's Riddle-Master fantasy trilogy (Die Schule der R&auml;tselmeister in the German translation), in which wizards are devoted to the creation of riddles and riddle solving tournaments. In an interview designer Klaus Teuber stated &quot;As you know there are moments when you close a book really sad that it's over. After finishing the last page, you often feel like you've lost a friend -- to be somewhat melodramatic. So I was looking for a way to keep the book alive a little longer. Creating a game seemed the perfect solution. In this game, I was looking for a way to make riddles, to experiment with shapes and to let the players express their own creativity with clay.&quot;&#10;&#10;The game starts with players using modeling clay to make objects that can be guessed by the other players. Players then take turns to move around the board either by rolling a die or spending gems to choose their move. The spaces landed on determine actions. Either the other players receive victory points, or you can ask a letter of an object (What's the fifth letter of that thing?), or you can ask general questions or make a single guess until you get a NO answer. Players also have three curse stones that they can throw down twice in the game and make a guess.&#10;&#10;You make a guess by writing the word down and passing it to the owner, who answers YES or NO. If you guess right, you stick an arrow in the object and score points (5pts if you're first, 3pts for second correct guess). In addition, and this matters, the object owner can either gain points or lose points, depending on the total arrows sticking at the time. So if you make your object too easy, or too hard, you lose points, but if you get it just right, you gain. Plus, at the game end, objects lacking arrows also lose their owners points.&#10;&#10;Your objects must each represent a single specific word, which you note down in secret. Trying to think of two or three things that people will guess, but not too easily, is really tricky and makes Barbarossa a fun game. Hopefully the new edition has a better rules set, as players might get puzzled by the variety of actions.&#10;&#10;A later-developed game directly inspired by Barbarossa is  Dominic Crapuchettes' Cluzzle.&#10;&#10;Re-published by Kosmos / Rio Grande 2001.&#10;&#10;Republished by Mayfair Games in 2005, in an edition for a maximum of 4 players in a smaller-sized box.&#10;&#10;";1988;6.32134;1.5524;3;4;60;12;Deduction, Fantasy, Humor, Party Game, Word Game;barbarossa italian red beard accord inventor inspire patricia mckillip riddle master fantasy trilogy die schule der r auml tselmeister german translation wizard devoted creation riddle riddle solve tournament interview designer klaus teuber state know moment close book sad finish page feel like ve friend somewhat melodramatic look way book alive little long create perfect solution look way riddle experiment shape let express creativity clay start modeling clay object guess die spend gem choose space land determine action receive ask letter object fifth letter thing ask general question single guess answer curse stone throw twice guess guess write word pass owner answer yes guess right stick arrow object pt pt second correct guess addition matter object owner gain depend total arrow stick time object easy hard right gain plus end object lack arrow owner object represent single specific word note secret try think thing people guess easily tricky make barbarossa fun hopefully new well set puzzle variety action later develop directly inspire barbarossa dominic crapuchette cluzzle publish kosmos rio grande republish mayfair maximum small sized box
552;Bus;"Prior to Essen 1999, a group of students created Splotter Spellen to sell some of their own game designs.  This game is regarded as one of the highlights of that group.  The object of the game is to deliver as many people to their destinations as you can.  To accomplish this, players place route markers on the board to connect passengers to their destinations.  However, the destination types (work, bar, home) vary from turn to turn, so you can follow certain passengers as they make their way through the daily grind.&#10;&#10;Players may buy more buses (they start off with one), build onto their bus route, bring new passengers to the city (via the trains), expand the city by adding more buildings, and run their buses. There is another option, the clock. The action board has one other clever feature. On some actions, route expansion and building, the first player to choose that action actually gets to execute the action last! Which leads to some interesting games of chicken and some painful decisions.&#10;&#10;Buying more buses allows a player to carry one more passenger every time they run their buses - hence scoring, in the best case, one more point. Depending on how the city gets built, however, finding lots of passengers on the street can be tricky.&#10;&#10;Bus routes extend from either end of a Settlers-style initial placement. Extensions are appended to either end. Routes may only run parallel if there are no empty streets at one of the ends or the line ends on the crossing as another player's end. All new passengers will arrive at one of two train stations so that is one concern when route building. One must also be careful to run by a nice mix of building types. And, when building, one must always have an eye towards spoiling other players' routes by placing a mix of building types at each of their intersection so that all of their passengers just walk! Finally, when carrying passengers, one wants to be careful to set up to carry the same passenger next turn.&#10;&#10;";1999;7.67038;3.0444;3;5;120;14;Transportation;prior essen group student create splotter spellen sell regard highlight group object deliver people destination accomplish place route marker connect passenger destination destination work bar home vary follow certain passenger way daily grind buy bus start build bus route bring new passenger city train expand city add building run bus option clock action clever action route build choose action actually get execute action lead interesting chicken painful decision buy bus allow carry passenger time run bus good case depend city get build find lot passenger street tricky bus route extend end settler style initial extension append end route run parallel street end line end crossing end new passenger arrive train station concern route build careful run nice mix building build eye spoil route place mix building intersection passenger walk finally carry passenger want careful set carry passenger
554;La Città;"Set in the Italian countryside, La Citt&agrave; features various city-states vying for population. Each player starts with two cities and is charged with expanding the different aspects of those cities to attract larger populations.&#10;&#10;Players build farms to feed their people, quarries to finance their expansions, marketplaces to allow growth in their cities, and bathhouses to keep their people clean and healthy. Additionally, structures can be built that give the city influence in one of three categories; superiority in one of these categories causes population to shift from other nearby cities when the &quot;Voice of the People&quot; is decided at the end of each turn.&#10;&#10;At the end of six turns, the player with the most points &mdash; which are distributed for well-rounded cities, well-fed populations, and the overall size of population &mdash; wins.&#10;&#10;Note: The correct pronunciation is like &quot;Cheetah&quot;, but with the accent on the last syllable: &quot;La Chee-TAH&quot;.&#10;&#10;";2000;7.01046;3.2688;2;5;120;12;City Building, Civilization, Renaissance, Territory Building;set italian countryside la citt agrave city state vie population start city charge expand different aspect city attract large population build farm feed people quarry finance marketplace allow growth city bathhouse people clean healthy additionally structure build city influence category superiority category cause population shift nearby city voice people decide end end mdash distribute rounded city feed population overall size population mdash note correct pronunciation like cheetah accent syllable la chee tah
556;7 Safari;"&quot;Lions and Rhinos and Birds, Oh my!&quot;&#10;&#10;In 7 Safari, players participate on a wild animal adventure. The mission of each player is to scout the jungle and collect as many different animals as possible, for as many points. You turn over a face-down card on a grid of cards, and replace it with a card from your hand. The catch is that each row and each column may never have more than one of each animal. Animals have different point values on their cards, and only one card will count positive points - more than one of a type will count negative points at the end. Hyenas, however are always negative.&#10;&#10;Originally Published in German as Alles f&uuml;r die Katz:&#10;The title means &quot;Everything for the Cat&quot; and may have an idiomatic meaning of &quot;all for nothing.&quot;&#10;&#10;In Alles f&uuml;r die Katz The animals in the zoo are loose and players must attempt to collect one of each type out of a face down grid which represents the zoo, but must avoid collecting any black cats which do not belong in the zoo. Adults should be sure to use the Advanced Rules to ensure an interesting game. Otherwise, the rules are the same as the English version (7 Safari).&#10;&#10;";2000;5.30841;1.1429;2;6;20;8;Animals, Card Game, Children's Game;lion rhino bird oh safari participate wild animal adventure mission scout jungle collect different animal possible face card grid card replace card hand catch row column animal animal different value card card count positive count negative end hyena negative originally publish german alle f uuml r die katz title mean cat idiomatic meaning alle f uuml r die katz animal zoo loose attempt collect face grid represent zoo avoid collect black cat belong zoo adult sure use advanced ensure interesting english safari
558;Der weiße Lotus;"Conflict in China during the middle ages.  Each player attempts to establish as much control over the various provinces throughout China via military and political wrangling.  Players have to manage their resources as they pick where they want to push the most in their fights over certain territories.  Throughout the game there are revolts against the reigning emperor and players must pick which side they will join.  Picking the wrong side too many times will cost you the game.&#10;&#10;";2000;6.17971;2.8571;3;6;80;12;Medieval, Negotiation;conflict china middle age attempt establish province china military political wrangling manage resource pick want push fight certain territory revolt reign emperor pick join pick wrong time cost
561;Flußpiraten;"Produced by the company responsible for the singularly vicious Rette Sich Wer Kann (the original version of Lifeboats), this similar game has each player trying to get their pirates to the end of the river, while trying to stop the other players from doing the same.  The boats that players use have spaces for two pirates, and each time one of the occupants decides to row the boat, the rock-paper-scissors aspect of the game kicks in.  Players have the option of rowing, tossing the other player out of the boat, or attempting to beat the other pirate with a club.  Players usually cooperate at the beginning of the river to overcome the current, but as the their ship nears the end of the river watch your back!&#10;&#10;";1990;6.19043;2.1;3;6;90;9;Nautical, Negotiation, Pirates;produce company responsible singularly vicious rette sich wer kann original lifeboat similar try pirate end river try stop boat use space pirate time occupant decide row boat rock paper scissor aspect kick option rowing toss boat attempt beat pirate club usually cooperate beginning river overcome current ship near end river watch
562;Silberzwerg;"Players manage a set of dwarves mining for gems to fulfill randomly distributed contracts.  Each turn, players simultaneously decide where to send their dwarves.  Four of the dwarves are simply miners and will mine a particular color of gem, depending on placement.  Gem prices are set each round, cheaper the more dwarves that are mining it.  Players also have two boss dwarves, which can either be shadow dwarves (used to carry out evil actions on other players), or silver dwarves (usually beneficial actions for the player).  Assembling the correct assortment of gems and assigning a silver dwarf to fulfill a contract, he can score either his own contract or one of two open contracts.  Or he can assign a silver dwarf simply to sell gems for cash.  High score when all the contracts are gone wins, but usually someone wins before that happens by hitting 600 points.&#10;&#10;";2000;6.40423;2.5128;2;4;60;10;Economic;manage set dwarf mine gem fulfill randomly distribute contract simultaneously decide send dwarf dwarf simply miner particular color gem depend gem price set cheap dwarf mine boss dwarf shadow dwarf carry evil action silver dwarf usually beneficial action assemble correct assortment gem assign silver dwarf fulfill contract contract open contract assign silver dwarf simply sell gem cash high contract go usually happen hit
563;Doolittle & Waite;"The game of the great American lawsuit. &#10;In this fast-paced card game, each player becomes a lawyer, who weighs the facts of the case, examines the law, watches out for hostile juries, and even occasionally deals with stubborn clients. In Doolittle &amp; Waite, as in the real world of legal disputes, players deal head-on, negotiating, bluffing, and even threatening in an attempt to win the case before trial through that noblest of all legal institutions ---the out of court settlement.&#10;&#10;There are enough cards for up to 15 players, but 8 is a more practical limit.&#10;&#10;";1986;6.24552;1.8571;2;8;30;0;Bluffing, Card Game, Negotiation;great american lawsuit fast pace card lawyer weigh fact case examine law watch hostile jury occasionally deal stubborn client doolittle amp waite real world legal dispute deal head negotiate bluff threaten attempt case trial noblest legal institution court settlement card practical limit
564;Die Seidenstraße;"from the rules translation:&#10;&#10;In 1225 the Venezian Marco Polo arrived home from his great journey of discovery to the mysterious land of China. His accounts from the land was so overwhelmingly fantastic and adventurous, that one could hardly believe him. Yet, the precious cargo he brought with him, convinced even the most discriminating and suspicious among the Venezians.&#10;&#10;Everyone wanted to have some of the valuable goods from China. Through the Silk Road &mdash; the legendary trading route which connected China with Europe &mdash;  traders brought exquisite treasures home, most importantly, precious silk,  which no one outside of China knew how to make.&#10;&#10;But the road which led to Venezia through the Gobi desert and passing the great commercial centers of Xi'an, Samarkand, Buchara, Bagdad and Byzanz, was dangerous. This made the traders dependent on each other during the journey. Nevertheless this did not stop them from, using the right tactics and a trace of cunning, trying to gain advantages over each other. Especially in the Bazaars and at the large Trading Posts which lined the route. The first to arrive would make the most profitable deals and receive the most ounces of Silver when they arrived at the end of their trip.&#10;&#10;";1998;5.51474;1.7778;2;7;60;10;Racing;translation venezian marco polo arrive home great journey discovery mysterious land china account land overwhelmingly fantastic adventurous hardly believe precious cargo bring convince discriminating suspicious venezians want valuable good china silk road mdash legendary trading route connect china europe mdash trader bring exquisite treasure home importantly precious silk outside china know road lead venezia gobi desert pass great commercial center xi samarkand buchara bagdad byzanz dangerous trader dependent journey stop right tactic trace cunning try gain advantage especially bazaar large trading post line route arrive profitable deal receive ounce silver arrive end trip
565;Port Royal;"Jamaica 1684. The entire West Indies Sea is in the hands of the King of Spain. The Spanish fighting and trading fleets rule the Caribbean. The whole Caribbean!  In the center of it is the island of Jamaica and the port of Port Royal. Under the protection of the English crown and equipped with letters of marque, a place of refuge is offered here for the boldest freebooters. Here they live life to the full, celebrate their triumphs and boast of their journeys. Here they haggle and toddle around the goods that were captured, in order to load them on their ships and to sell them for a profit.&#10;&#10;The goal for each player is to have the largest amount of booty loaded on his ships, but each ship can only hold a limited amount. All debts incurred during the game must be paid off from the player&rsquo;s winnings. Player with the highest score wins&#10;&#10;";2000;6.23889;2.3571;3;4;60;10;Card Game;jamaica entire west indie sea hand king spain spanish fighting trading fleet caribbean caribbean center island jamaica port port royal protection english crown equip letter marque place refuge offer bold freebooter live life celebrate triumph boast journey haggle toddle good capture order load ship sell profit large booty load ship ship hold limited debt incur pay rsquo winning high
566;Wongar;"The board for this game features several square-ish areas, which each have their own draw pile.  Players each sequentially pick the top card which has the action they'd like to take.  These actions revolve around placing of control markers on the board.  There are three types of control markers that are available, and each type of marker will score each time the area is scored.  The areas are scored when either the Ancestor or the Elder tokens appear in the area, and moving either of the tokens gives the moving player the first-player status or extra scoring cards.  The scoring cards are the last element, as once an area is scored the players involved in the area use these cards to manipulate control makers in the general vicinity.  Scattered throughout the decks are scorpion cards, which ages the game to completion and increases the value of the scorings through the game.&#10;&#10;";2000;6.2873;2.9762;3;5;90;12;Prehistoric;square ish area draw pile sequentially pick card action d like action revolve place marker marker available marker time area area ancestor eld token appear area token give status extra card card element area involve area use card manipulate maker general vicinity scatter deck scorpion card age completion increase value
567;Quartier Latin;"from web page:&#10;&#10;You are the owner of a fancy bistro in the fashionable Quartier Latin in Paris, the most important investments are made: you have bought tables, chairs and tableware and have engaged fairly qualified personnel. Shortly before the opening of your pub the disaster happens. The competitors send hooligans to your premises that are about to destroy your work. You are determined to fight. Let 's hope that you have better cards than your opponents!&#10;&#10;Two teams of two or three players compete with the aim to open as many pubs as they can. But they not only try to set up their own enterprise but also to cancel the efforts of the other team by any means. For this purpose the teams can hire hooligans and bombers to threat the opponents. They can also cause other inconveniences like influenza for the personnel of the other team, pipe bursts or denial of credit. The other team can defend themselves with their own hooligans, managers or the two doormen Gaston and Gustave. Both, developing / opening of pubs and getting rid of the competitors, gain points. You have, for example, destroyed the other teams disco. Not only do the others not score points with their disco if you call a disco your own, their customers come to your premises (where else could they dance?)  and you collect MONEY (points)!! But even if you only have a simple beer garden, the bomb attack was useful for your business because the disco-dancers will visit the other pubs of the quarter if they don 't find their favorite disco, and yours is one of them.&#10;&#10;By the end of the game the most successful gastronome is obviously the one with the most points.&#10;&#10;";1997;5.5;0.0;4;6;45;0;Card Game, Fighting;web page owner fancy bistro fashionable quarti latin paris important investment buy table chair tableware engage fairly qualified personnel shortly opening pub disaster happen competitor send hooligan premise destroy work determined fight let hope well card opponent team compete aim open pub try set enterprise cancel effort team mean purpose team hire hooligan bomber threat opponent cause inconvenience like influenza personnel team pipe burst denial credit team defend hooligan manager doorman gaston gustave develop opening pub getting rid competitor gain example destroy team disco disco disco customer come premise dance collect money simple beer garden bomb attack useful business disco dancer visit pub quarter don t find favorite disco end successful gastronome obviously
568;Rage;"Based on the widely-known card game Oh Hell!, players use the deck of zero through fifteen in six suits to bid for a particular number of tricks and then subsequently take exactly that many.  Each game consists of ten hands, with the hand size shrinking by one each time, until the final one-card hand.  Along the way, trump is randomly determined and can be changed during the hand through the use of special cards.  There are also special cards that make the trump not count for a trick, others that can be declared any suit and value when played, and others that will give bonuses or penalties for taking the trick on which they're played.  A newer version of this game was released by Amigo in 2000.&#10;&#10;";1983;6.19618;1.471;2;10;45;8;Card Game;base widely know card oh hell use deck zero suit bid particular number trick subsequently exactly consist hand hand size shrink time final card hand way trump randomly determined change hand use special card special card trump count trick declare suit value bonus penalty take trick new release amigo
569;Maestro;"Each player runs a musical talent agency, and has a personal player board in front of him. By managing musicians, players race to complete compositions, each with their own requirements. Musicians not used by the end of the game are deducted from one's score, and players struggle to manage their stable of personnel, who must all be paid, and can steal musicians from competitors.&#10;&#10;Revised version:&#10;&#10;     Little Amadeus Maestro&#10;&#10;&#10;";1989;5.85464;1.8667;2;4;30;8;Music;run musical talent agency personal manage musician race complete composition requirement musician end deduct struggle manage stable personnel pay steal musician competitor revise little amadeus maestro
570;Terrain Game;"Using magnificent wooden hex-cylinders of varying sizes, player construct the board each time it is played, and the playing surface ends up being a mountainous terrain.  Players use dice to determine movement points as well as weather, which makes the movement points more or less efficient.  The object of the game is to move your little mountain climbing pawn through either one or two points, which are placed by your opponents.  You can only go up or down a certain number of levels in one step, and each hex only has three points from which to exit to the next hex.&#10;&#10;";1997;5.3125;1.6667;2;6;60;0;Racing;magnificent wooden hex cylinder vary size construct time surface end mountainous terrain use dice determine weather make efficient object little mountain climbing pawn place opponent certain number step hex exit hex
571;Papua;"from the translation:&#10;&#10;Players quickly attempt to escape the cannibal's soup pot with their islanders!  Escaping over the island with other islanders is the only possible way.  Whoever reaches the saving canoe first with their islanders wins the game.&#10;&#10;Re-Implements:&#10;&#10;    Conflix&#10;&#10;&#10;";1992;6.235;1.5714;3;6;60;10;Racing;translation quickly attempt escape cannibal soup pot islander escape island islander possible way reach save canoe islander implement conflix
572;Battle Cattle;"Has been published in 3 editions thus far. Aldo Ghiozzi helmed the second edition. W. Jason Peck joined the design team for 3rd edition.&#10;&#10;Description for the 2nd edition:&#10;&#10;Battle Cattle: Second Edition Expansion in a world of swords and sorcery.&#10;&#10;Gather all the cud available as your Angus Wizard prepares to fire a Magic Moo-ssile! Have your Corriente Pailadin last a little longer by Laying On Hooves! Animate dead cow carcasses with your Jersey Necowmancer!&#10;&#10;Description for the 3rd edition:&#10;&#10;I MOO YOU A THIRD TIME!&quot;&#10;&#10;Moo-ve over people &lsquo;cause the cows are comin&rsquo; home and they&rsquo;re packin&rsquo;! The udder devastation continues with a new evolution of Battle Cattle. Battle Cattle: Third Edition brings you the realism you&rsquo;ve been licking your chops for! Use these new and revised tabletop miniatures rules to play realistic Battle Cattle combat parallel to the cows from the Official Battle Cattle miniatures line (sold separately).&#10;&#10;Also included are more cow breeds, weapons, modifications and accessories. 48 pages of perfect bound rules in a traditional 8.5&rdquo; x 11&rdquo; book with one full color pasture battlefield and full color cow chips to play&hellip;(You meant cow CHITS, right? You&rsquo;re not really putting cow dung in the game, are you?)&hellip;Mooooo&hellip;&#10;&#10;";1996;5.49605;1.3333;2;8;60;8;Animals, Fighting, Humor, Miniatures, Science Fiction, Wargame;publish far aldo ghiozzi helm second w jason peck join team rd description nd battle cattle second world sword sorcery gather cud available angus wizard prepare fire magic moo ssile corriente pailadin little long lay hoof animate dead cow carcass jersey necowmancer description rd moo time moo ve people lsquo cause cow comin rsquo home rsquo packin rsquo udder devastation continue new evolution battle cattle battle cattle bring realism rsquo ve lick chop use new revised tabletop miniature realistic battle cattle combat parallel cow official battle cattle miniature line sell separately include cow breed weapon modification accessory page perfect bind traditional rdquo x rdquo book color pasture battlefield color cow chip hellip mean cow chit right rsquo put cow dung hellip mooooo hellip
573;Grand Prix;"Extrapolated from Harrington description:&#10;&#10;Each player controls a team of 3 cars. On your turn you assign a movement of 6 to one car, 5 to another and 4 to the third car (on your next turn you may assign the movement allowances differently if you wish).&#10;&#10;To add a bit of racing flavor there is the option of slipstreaming (drafting). This is achieved by landing on a space marked with a chevron. If your car is directly behind another car then you may move an additional 3 spaces. If this takes you on to a space offering another slipstreaming opportunity (very rare!) then you may slipstream for a second time (but not a third).&#10;&#10;Grand Prix was also published in the compilations of Bertelsmann Buchclub in 1976 (see Jockey & Grand Prix),&#10;and in 1980 by Carlit as part of Spiele-Box .&#10;&#10;";1975;6.39091;1.3636;3;6;60;8;Abstract Strategy, Racing;extrapolate harrington description team car assign car car assign allowance differently wish add bit race flavor option slipstreame draft achieve land space mark chevron car directly car additional space take space offer slipstreame opportunity rare slipstream second time grand prix publish compilation bertelsmann buchclub jockey grand prix carlit spiele box
574;Devil Take the Hindmost;"In this clever racing game, cars move around a 30-space track on which the spaces are numbered from 1 to 10, then 1 to 10 again, then 1 to 10 for a third time.  The cards have different powers depending on which number your car is sitting on.  For instance, a card might move you 8 spaces if you're sitting on an 8, but only 3 spaces otherwise.  Cards go in and out of your hand at a rapid rate as you play and discard your way through a series of races, and card management skills will come in handy if you've got them.  Each race goes by quite quickly, but the game consists of a whole series of races -- 11 if you play with the full complement of 3 cars each for 4 players or 2 cars each for 6 -- the gimmick being that, at the end of each race, the car that came in last is removed from the game, and the next race has one fewer starters -- and so on until the game is down to the last two cars and the last race for the ultimate victory.&#10;&#10;Originally released as Devil takes the Hindmost which has the same mechanics but is a cycling-racing game.&#10;&#10;";1991;6.42339;1.5135;3;6;30;8;Card Game, Racing;clever racing car space track space number time card different power depend number car sit instance card space sit space card hand rapid rate discard way series race card management skill come handy ve get race go quickly consist series race complement car car gimmick end race car come remove race few starter car race ultimate originally release devil take hindmost cycling race
575;Das Kollier;"from the rules translation:&#10;&#10;das Kollier (English = The Necklace.)&#10;&#10;Through the buying of gems, everyone composes as precious a necklace as possible. The player with the most valuable necklace wins.&#10;&#10;1st Place 1999 Hippodice Spieleautorenwettbewerb.&#10;&#10;Game is about  making a necklace out of gem cards. Each player starts with money and as gems are displayed they are auctioned off. 2 different types of auctions exist a conventional one where prices rise  and one that works in the opposite direction from which prices are fixed by the auctioneer.&#10;&#10;";2000;5.44444;2.2;3;6;30;10;Card Game, Economic;translation das kollier english necklace buying gem compose precious necklace possible valuable necklace st place hippodice spieleautorenwettbewerb make necklace gem card start money gem display auction different auction exist conventional price rise work opposite direction price fix auctioneer
576;Illuminati: Y2K;"Illuminati Y2K is an expansion set to the newly-released colour Illuminati. Y2K introduces 76 new groups, 26 new special cards and two new Illuminati: The Church of the SubGenius and the Shangri-La. Most of the new cards depict groups or things that have become commonplace in modern society (the WWW, El Nino, paparazzi) and that fit in comfortably with any conspiracy theory; other cards just add some new oddball organizations (vampires, arms smugglers, chain letters).&#10;&#10;Expands:&#10;&#10;    Illuminati&#10;&#10;&#10;";1999;6.99374;2.5455;2;6;180;13;Card Game, Expansion for Base-game, Negotiation, Political, Science Fiction;illuminati y k set newly release colour illuminati y k introduce new group new special card new illuminati church subgenius shangri la new card depict group thing commonplace modern society www el nino paparazzi fit comfortably conspiracy theory card add new oddball organization vampire arm smuggler chain letter expand illuminati
577;Parts Unknown;"Players are retail store owners who supply body parts to the local mad scientists. Viktor, a mad scientist, goes around window shopping. Whenever he stops to look at a particular type of parts, a demand for that type of part is created; all the parts at the cheapest price get sold. If there is still a demand, all the parts at the next cheapest price get sold. This continues until demand is met. If parts sold exceed demand, a surplus is created, which may put an extra townsfolk back into the population. If the demand is not met, a shortage is created which will be filled by removing a townsfolk.&#10;&#10;Each turn, players get a part from their gravediggers, and can pay for more parts. Players can buy store shelves, and stock those shelves with parts, setting them to a specific, fixed price. If parts don't sell. the may be shuffled off to the &quot;parts unknown&quot; pile, which will automatically sell at certain times at a highly discounted rate. There could be, at times, a monster on the loose which scares off shoppers, getting them to buy parts only at the cheapest price, ignoring other available parts. Also, villagers might riot, which causes parts from the gravediggers to be more expensive. Player with the most money at the end of the game wins.&#10;&#10;Versions&#10;&#10;     1998 Cardstock version (Out of Print) &#10;&#10;&#10;Awards&#10;&#10;    Origins Award Nominee: Best Sci Fi/Fantasy Board Game&#10;&#10;&#10;";1999;6.01624;1.9048;4;10;90;10;Economic, Horror;retail store owner supply body part local mad scientist viktor mad scientist go window shopping stop look particular part demand create part cheap price sell demand part cheap price sell continue demand meet part sell exceed demand surplus create extra townsfolk population demand meet shortage create fill remove townsfolk gravedigger pay part buy store shelf stock shelf part set specific fix price part don t sell shuffle part unknown pile automatically sell certain time highly discount rate time monster loose scare shopper get buy part cheap price ignore available part villager riot cause part gravedigger expensive money end cardstock print award origin award nominee good sci fi fantasy
