id;name;description;year;rating;complexity
11;Bohnanza;"Bohnanza is the first in the Bohnanza family of games and has been published in several different editions, including a 2023 version with flowers.&#10;&#10;This entry lists a few different major card sets for Bohnanza: the base game for 3-5 players, the expanded game with the same name for 2-7 players (that is, first expansion included), and Bohnanza Pocket.&#10;&#10;In the game, you plant, then harvest bean cards in order to earn coins. Each player starts with a hand of random bean cards, and each card has a number on it corresponding to the number of that type of beans in the deck. Unlike in most other card games, you can't rearrange the order of cards in hand, so you must use them in the order that you've picked them up from the deck &mdash; unless you can trade them to other players, which is the heart of the game.&#10;&#10;On a turn, you must plant the first one or two cards in your hand into the &quot;fields&quot; in front of you. Each field can hold only one type of bean, so if you must plant a type of bean that's not in one of your fields, then you must harvest a field to make room for the new arrival. This usually isn't good! Next, you reveal two cards from the deck, and you can then trade these cards as well as any card in your hand for cards from other players. You can even make future promises for cards received right now! After all the trading is complete &mdash; and all trades on a turn must involve the active player &mdash; then you end your turn by drawing cards from the deck and placing them at the back of your hand.&#10;&#10;When you harvest beans, you receive coins based on the number of bean cards in that field and the &quot;beanometer&quot; for that particular type of bean. Flip over 1-4 cards from that field to transform them into coins, then place the remainder of the cards in the discard pile. When the deck runs out, shuffle the discards, playing through the deck two more times. At the end of the game, everyone can harvest their fields, then whoever has earned the most coins wins.&#10;&#10;The original German edition supports 3-5 players. The English version from Rio Grande Games comes with the first edition of the first German expansion included in a slightly oversized box. One difference in the contents, however, is that bean #22's Weinbrandbohne (Brandy Bean) was replaced by the Wachsbohne, or Wax Bean. This edition includes rules for up to seven players, like the Erweiterungs-Set, but also adapts the two-player rules of Al Cabohne in order to allow two people to play Bohnanza.&#10;&#10;";1997;7.0696;1.6677
12;Ra;"Ra is an auction and set-collection game with an Ancient Egyptian theme.  Each turn players are able to purchase lots of tiles with their bidding tiles (suns).  Once a player has used up his or her suns, the other players continue until they do likewise, which may set up a situation with a single uncontested player bidding on tiles before the end of the round occurs.  Tension builds because the round may end before all players have had a chance to win their three lots for the epoch.  The various tiles either give immediate points, prevent negative points for not having certain types at the end of the round (epoch), or give points after the final round.  The game lasts for three &quot;epochs&quot; (rounds).  The game is easy to learn.&#10;&#10;From the Box:&#10;The game spans 1500 years of Egyptian history in less than an hour!&#10;The players seek to expand their power and fame and there are many ways to accomplish this: Influencing Pharaohs, Building monuments, Farming on the Nile, Paying homage to the Gods, Advancing the technology and culture of the people. Ra is an auction and set collecting game where players may choose to take risks for great rewards or... And all this is for the glory of the Sun God Ra!&#10;&#10;";1999;7.66571;2.315
13;CATAN;"In CATAN (formerly The Settlers of Catan), players try to be the dominant force on the island of Catan by building settlements, cities and roads. On each turn dice are rolled to determine which resources the island produces. Players build structures by 'spending' resources (sheep, wheat, wood, brick and ore) which are represented by the relevant resource cards; each land type, with the exception of the unproductive desert, produces a specific resource: hills produce brick, forests produce wood, mountains produce ore, fields produce wheat, and pastures produce sheep.&#10;&#10;Set-up includes randomly placing large hexagonal tiles (each depicting one of the five resource-producing terrain types--or the desert) in a honeycomb shape and surrounding them with water tiles, some of which contain ports of exchange. A number disk, the value of which will correspond to the roll of two 6-sided dice, are placed on each terrain tile. Each player is given two settlements (think: houses) and roads (sticks) which are placed on intersections and borders of the terrain tiles. Players collect a hand of resource cards based on which terrain tiles their last-placed settlement is adjacent to. A robber pawn is placed on the desert tile.&#10;&#10;A turn consists of rolling the dice, collecting resource cards based on this dice roll and the position of settlements (or upgraded cities&mdash;think: hotels), turning in resource cards (if possible and desired) for improvements, trading cards at a port, possibly playing a development card, or trading resource cards with other players. If the dice roll is a 7, the active player moves the robber to a new terrain tile and steals a resource card from another player who has a settlement adjacent to that tile.&#10;&#10;Points are accumulated by building settlements and cities, having the longest road or the largest army (from some of the development cards), and gathering certain development cards that simply award victory points. When a player has gathered 10 points (some of which may be held in secret), s/he announces this and claims the win.&#10;&#10;";1995;7.09406;2.2874
14;Basari;"Basari is a game of gem merchants competing in a marketplace&quot;: racing, collecting, trading, and predicting what the other merchants will do.&#10;&#10;To start the game, players receive 12 gemstones (3 each of 4 colors). &#10;Each turn there will be a movement phase and an action phase:&#10;&#10;For movement, everyone simultaneously rolls their die and moves their markers around a track.&#10;&#10;They then choose one of three different actions to perform. The actions are:&#10;- to take a variety of gems from a market stall, &#10;- to immediately score from between 4 and 7 points, or &#10;- to roll and move again and also collect points.&#10;&#10;The action cards are revealed simultaneously. If only 1 player chose a particular action, they simply perform that action. If 2 players chose the same action, they barter back and forth with gemstones. One player will eventually accept the other's offer of gems, and the other will take the action. If 3 or 4 players all chose the same action card, that action is cancelled. Note that in 4-player games, there will always be a conflict in choice of 3 actions, so much more negotiating goes on.&#10;&#10;A new turn begins with everyone rolling their die, moving, then choosing and revealing their action cards. When any merchant piece completes a lap around the board, the round ends and bonus points are awarded based on who has the majority in each gem color and who has completed a lap. After three rounds, the game is over and the highest score wins.&#10;&#10;Re-implemented by:&#10;&#10;&#10;     Edel, Stein & Reich&#10;&#10;&#10;";1998;6.74684;1.8478
15;Cosmic Encounter;"By request of Fantasy Flight Games, Board Game Geek lists the various editions of Cosmic Encounter in separate entries. Each edition is the same game at its core, but the features, compatible expansions, and production differ among them. This entry is for the original 1977 Eon version.&#10;&#10;Players represent alien races that are seeking to spread themselves onto five foreign worlds.  To accomplish this, they make challenges against other players and enlist the aid of interested parties.  But alien powers, which are unique to each race, give players ways to bend or outright break some rule in the game.&#10;&#10;The game continues until one player occupies five planets in other systems to win. Shared victories are possible and a player need not occupy one's own system to win.&#10;&#10;";1977;6.92458;2.3721
16;MarraCash;"Taking on the roles of shop owners in the Moroccan marketplace, players buy various shops, as color-coded tourists in the form of neat little wooden people in hats start showing up at the entry gate. Players can then move them into their own like-colored shops to earn money or move them into opponents' shops for a share of the profits. After all the tourists have been placed onto the board, the player with the biggest bankroll takes the victory. This game combines some great auction elements with spatial relationships for an appealing overall effect.&#10;&#10;Contents:&#10;  1 game board&#10;  1 blue auction stone&#10;  1 counter sheet with:&#10;      - 24 shop signs (6 each of Ali, Anfa, Omar and Leila)&#10;      -   4 player aid cards&#10;24  plastic stands&#10;54 pawns = &quot;visitors&quot; (14 yellow, 10 each of red, blue, green and purple)&#10;25 game cards with &quot;souvenirs&quot;&#10;Money in different values (500, 200, 100 and 25 Dirhams)&#10;&#10;";1996;6.97412;2.1649
17;Button Men;"This game gained a quick following after one of the major gaming conventions of 1999.  It features several characters, represented on actual stickpin buttons, that each have a unique allowance of polyhedral dice.  These dice endow each  character with fairly unique combat abilities.  Players roll the dice against each other and take their opponents' dice as casualties.  The object of the game is take out the most die 'sides' during the combat.  It's quite simple, quite inventive, and deeper than it would seem at first.&#10;&#10;";1999;6.36282;1.52
18;RoboRally;"The robots of the RoboRally automobile factory spend their weekdays toiling at the assembly line. They put in hard hours building high-speed supercars they never get to see in action. But on Saturday nights, the factory becomes a world of mad machines and dangerous schemes as these robots engage in their own epic race.It takes speed, wits, and dirty tricks to become a racing legend! Each player chooses a robot and directs its moves by playing cards. Chaos ensues as all players reveal the cards they've chosen. Players face obstacles like industrial lasers, gaping pits, and moving conveyor belts -- but those can also be used to their advantage! Each player aims to make it to each of the checkpoints in numerical order. The first player to reach all of the checkpoints wins. &#10;&#10;In RoboRally players each control a different robot in a race through a dangerous factory floor. Several goals will be placed on the board and you must navigate your robot to them in a specific order. The boards can be combined in several different ways to accommodate different player counts and races can be as long or as short as player's desire.&#10;&#10;In general, players will first fill all of their robot's &quot;registers&quot; with facedown movement cards. This happens simultaneously and there is a time element involved. If you don't act fast enough you are forced to place cards randomly to fill the rest. Then, starting with the first register, everyone reveals their card. The card with the highest number moves first. After everyone resolves their movement they reveal the next card and so on. Examples of movement cards may be to turn 90 degrees left or right, move forward 2 spaces, or move backward 1 space though there are a bigger variety than that. You can plan a perfect route, but if another robot runs into you it can push you off course. This can be disastrous since you can't reprogram any cards to fix it!&#10;&#10;Robots fire lasers and factory elements resolve after each movement and robots may become damaged. If they take enough damage certain movement cards become fixed and can no longer be changed. If they take more they may be destroyed entirely. The first robot to claim all the goals in the correct order wins, though some may award points and play tournament style.&#10;&#10;The game was reprinted by Avalon Hill (Hasbro/WotC) in 2005.&#10;&#10;UPC 742818050029&#10;&#10;";1994;7.05056;2.4285
19;Wacky Wacky West;"A long time ago, in a village far, far away, some disturbed townsfolk decided to destroy their entire town in order to rid themselves of an evil menace (it's technically a dog-mouse, but I think it's an idiomatic thing).  Anyway, so the villagers rebuilt all the buildings in the town (including their precious outhouses), but forgot to include city walls, a river, or roads.  To rectify this, players lay tiles with one of these three things onto the board, and any building caught underneath them is automatically eliminated, except for outhouses.  When an outhouse would be destroyed, players take a vote on whether to place that particular section.  Each player is trying to retain the most of one type of building, and once all the pieces have been placed the winner is the person with the highest valued buildings still standing.&#10;&#10;Wacky, Wacky West re-make description:&#10;&#10;Fans of Klaus Teuber will be interested in this remake/redesign of Drunter und Dr&uuml;ber, a 1991 Spiel des Jahres winner.&#10;&#10;&#10;Just south of nowhere, there's the junction of the Mayfair &amp; Rossdorf RR and the Turvy Trunk Line. Springing up from the desert like a tumbleweed lies the eccentric little town of Rossdorf. Like most western towns, Rossdorf has a Land Agent: Guy Dough, the brother of that wicked varmint Black Benny. A shrewd opportunist, Guy's done sold all the town land ('ceptin' the outhouses) four times over! Every acre in town that ain't got an outhouse on it is owned by the miners, the railroads, AND the fort captain. Just about a year ago, miners digging in the shadow of Fort Rossdorf struck the mother lode! But it wasn't gold, and it wasn't silver. No, my friend, it was just a little spring. Not any ordinary spring, though! It was a torrent of that mind-marbling drink the locals call &quot;Wacky Water!&quot; &#10;&#10;&#10;Now that water's done what the sun and the wind couldn't do: it's made those landholders brave enough to take matters into their own hands. Now they'll use whatever means they can to bowl over the competition and lay claim to the only fertile spots left in town! Now the only thing stoppin' 'em is the Town Charter Amendment #5, which states: &quot;no landholder may move, remove, or detonate any outhouse without a majority vote of the Town Citizens...&quot; Now one thing's for sure: something's gonna stink in Rossdorf, purty darn soon.....&#10;&#10;&#10;In Wacky Wacky West you and your fellow townfolk place track tiles, street tiles, and river tiles hoping to destroy your rivals' buildings. Every time someone tries to build over a precious outhouse, the town votes! You try to enlist your supporters (represented by cards) to vote with you to stop or encourage the play of certain tiles-perhaps saving some of your buildings or taking out those of your dastardly opponents.&#10;&#10;";1991;6.27644;1.8204
20;Full Metal Planète;"In this game of science fiction strip mining, players land on a planet and try and grab as much ore as possible and take off before the game is over.  Each player has tanks, boats, barges, mining equipment and a base ship at his disposal and will have to contend with the weather and the other miners.  The game uses an action point allowance system and thus is dice free.  Each player on his turn has a pool of points that he can divide in a variety of ways, putting all the points into one unit's movement or dividing them among several units.  Each turn is timed so players have to think quickly, and once a move has been made it cannot be retracted.  The game itself is beautifully put together, with a detailed hex grid and real metal miniatures for all of the units.&#10;&#10;Online Play: &#10;&#10;    Full Metal Galaxy&#10;    Full Metal Program&#10;    VASSAL module&#10;&#10;&#10;Re-implemented by:&#10;&#10;    Full Metal Conqu&#195;&#170;te (as a two-player version)&#10;&#10;&#10;Expanded by:&#10;&#10;    Full Metal Planete: Plateau Modulaire.&#10;&#10;&#10;Microbadges:&#10; - Full Metal Plan&egrave;te fan  Buy It&#10;&#10;";1988;7.50139;3.1429
21;Gateway to the Stars;"A 4X game (eXplore, eXpand, eXploit, eXterminate) along the lines of Stellar Conquest, players each control a space faring empire that moves out to other star systems to explore and conquer.&#10;&#10;";1994;5.58824;3.0
22;Magic Realm;"From the 2nd edition rulebook intro for MAGIC REALM:&#10;&#10;MAGIC REALM is a game of fantasy adventuring, set in a land filled with monsters, fabulous treasures, great warriors, and magicians. The scene is set in the ruins of a mighty kingdom, now inhabited by sparse groups of natives and swarms of monsters. Beneath it all are the rich remnants of a magical civilization, scattered and lost across the map.&#10;To this scene come the adventurers, seekers of riches and fame, to make a name for themselves in this promising field. Swordsman and Dwarf, Magician and Sorceror, the humans and the half-humans come seeking to loot the legendary riches of a lost civilization. Now you can play the part of one of these adventurers, stepping into an unknown Realm of magic and monsters, battles and treasures.&#10;&#10;As a player, you will take on the role of one of the sixteen major characters who are represented in detail in the game. You will control where he goes, what he tries to do, how he handles himself in combat, and much more. In the course of the game, you will run into deadly monsters, tribes of humans ranging from old friends to sworn enemies, and treasures that will enhance your abilities in many ways.&#10;&#10;MAGIC REALM is a complex game designed to recapture the suspense and desperate struggles of fantasy literature. The game creates a small but complete fantasy world, where each game is a new adventure with a new map where everything lies hidden at new locations. The game includes many more playing pieces than are actually used in a single playing. The additional pieces are set up and can appear, depending on the directions in which the characters explore, but many of the treasure troves, treasures, and spells will still be set up, unfound, when the game ends, and many of the monsters and natives might never be met. The result is an extremely unpredictable game full of surprises, a game that plays very differently each time it is played.&#10;The complete game system includes hiking, hiding and searching, fatigue, wounds, rest, trade, hiring natives, and combat between characters, monsters, and natives using a variety of weapons on horseback and afoot, as well as many magical effects.&#10;&#10;Between exploring a new land where the mountains, caves, valleys, and woods change every game, and not knowing what you will find in each place, you will find each game a new and unpredictable adventure, filled with surprises. You will find this like no other board game you have ever played.&#10;&#10;Avalon Hill Complexity rating - 9&#10;&#10;See also the list of articles about Magic Realm in The General.&#10;&#10;";1979;7.29881;4.562
23;Divine Right;"Divine Right combines combat, diplomacy, and role-playing into 2-6 hours of fast-paced action as each player attempts to build and hold together an alliance of kings long enough to defeat the other players and win the game. The kingdoms of humans, elves, goblins, dwarves and trolls are pawns in the power games that absolute monarchs play. Ambassadors vie for the attention of the kings whose favor they curry. Assassination and backstabbing are popular pastimes, and loyal allies may leave your side in the heat of battle at the drop of a hat &mdash; or a die. The magicians, too, get their arcane fingers into things, and the gods intervene as well. It is a situation that demands skill and luck.&#10;&#10;The box contains rule book, full-color mapsheet, over 250 die-cut counters, dice, and cards.&#10;&#10;&mdash;description from the publisher&#10;&#10;Expanded by:&#10;&#10;    Divine Right: Scarlet Empire&#10;&#10;&#10;";1979;7.20338;3.1688
24;Twilight Imperium;"Sprawling game of space faring races out to dominate known space.&#10;&#10;This game combines a number of elements from other game systems into a unique package. Hex tiles create the game board and each player begins with a race with unique powers. The game focuses heavily on a political voting phase and a web of trade agreements between players.&#10;&#10;&#10;Part of the Twilight Imperium Series / Family.&#10;&#10;Expanded with:&#10;&#10;    Twilight Imperium: Borderlands&#10;    Twilight Imperium: Distant Suns&#10;    Twilight Imperium: Twilight Armada&#10;    Twilight Imperium: The Outer Rim&#10;&#10;&#10;Re-implemented in:&#10;&#10;    Twilight Imperium: Second Edition&#10;    Twilight Imperium: Third Edition&#10;    Twilight Imperium (Fourth Edition)&#10;&#10;&#10;";1997;6.59199;3.4643
25;Battlemist;"In this fantasy relative to Twilight Imperium, players control races that must juggle military and economic concerns with a quest to gather the magical stars spread across the land.  The game board is made up of hex tiles and players use a resource system that has similarities to The Settlers of Catan.  A card driven system resolves players' quests.&#10;&#10;Expanded by:&#10;&#10;    Battlemist: The Sails of War&#10;&#10;&#10;Reimplemented by:&#10;&#10;    Runewars&#10;&#10;&#10;";1998;5.89138;3.2
26;Age of Renaissance;"A game that is often described as a semi-sequel to Civilization.&#10;&#10;Players attempt to build up their cultures during the Middle Ages and Renaissance periods. The game features a card deck that holds events, payout cards, and famous leaders of the particular eras. Although all cards will turn up somewhere during the game, the timing and position in which they will be played is crucial and will ensure a different game every time.&#10;&#10;The main goal of each city-state is to gain points in the form of technical advances, while keeping their culture's misery level as low as possible. The payout structure is similar to those of Civilization and Advanced Civilization in that more resources of the same type yield increasingly higher payouts. This time particular payouts are triggered by card play for every player at once. An ingenious and very smooth working &ldquo;combat&rdquo; system is implemented to determine province &ndash; and thus resource - control.&#10;&#10;";1996;7.09318;3.8495
27;Supremacy: The Game of the Superpowers;"Supremacy pits conventional superpowers against one another for control of the earth.  Along the lines of modern warfare Risk, only with an integrated supply/demand economic system.  Warfare comes in all forms from conventional, biological, chemical and all the way to nuclear.  Neat little plastic mushroom clouds are included to show where regions of the earth have been blasted, and if nuclear winter occurs, all players lose.  The game also spawned a great many supplements to expand the game further.&#10;&#10;";1984;5.68289;3.124
28;Illuminati;"In this classic Steve Jackson (I) game of world domination, each player is a secret society attempting to spread its tendrils into special interest groups throughout the world. This latest edition comes with additional cards and reworked graphics to bring the venerable game up to date.&#10;&#10;Re-issue of:&#10;&#10;    Illuminati (Small plastic box with 54 black and white cards and paper money)&#10;&#10;&#10;Expansions:&#10;&#10;    Illuminati: Y2K&#10;    Illuminati: Brainwash (re-work of Illuminati Expansion Set 3)&#10;    Illuminati: Bavarian Fire Drill&#10;    Illuminati: Mutual Assured Distraction&#10;&#10;&#10;Spin Off:&#10;&#10;    Illuminati: Crime Lords&#10;&#10;&#10;";1987;6.46601;2.6568
29;Terrain Vague;"Having many system similarities to Full Metal Plan&#195;&#168;te, Terrain Vague is a war game-ish game based on young gangs of kids fighting over turf in a junk yard. Imagine an R-rated Little Rascals movie with weapons and you get the idea.&#10;&#10;A winner of the 1992 Concours International de Cr&#195;&#169;ateurs de Jeux de Soci&#195;&#169;t&#195;&#169;.&#10;&#10;";1993;6.70867;3.25
