id;name;description;year;rating;complexity;clean_description
24;Twilight Imperium;"Sprawling game of space faring races out to dominate known space.&#10;&#10;This game combines a number of elements from other game systems into a unique package. Hex tiles create the game board and each player begins with a race with unique powers. The game focuses heavily on a political voting phase and a web of trade agreements between players.&#10;&#10;&#10;Part of the Twilight Imperium Series / Family.&#10;&#10;Expanded with:&#10;&#10;    Twilight Imperium: Borderlands&#10;    Twilight Imperium: Distant Suns&#10;    Twilight Imperium: Twilight Armada&#10;    Twilight Imperium: The Outer Rim&#10;&#10;&#10;Re-implemented in:&#10;&#10;    Twilight Imperium: Second Edition&#10;    Twilight Imperium: Third Edition&#10;    Twilight Imperium (Fourth Edition)&#10;&#10;&#10;";1997;6.59282;3.4643;sprawl game space fare race dominate know space game combine number element game system unique package hex tile create game board player begin race unique power game focus heavily political voting phase web trade agreement player twilight imperium series family expand twilight imperium borderland twilight imperium distant sun twilight imperium twilight armada twilight imperium outer rim implement twilight imperium second edition twilight imperium edition twilight imperium fourth edition
25;Battlemist;"In this fantasy relative to Twilight Imperium, players control races that must juggle military and economic concerns with a quest to gather the magical stars spread across the land.  The game board is made up of hex tiles and players use a resource system that has similarities to The Settlers of Catan.  A card driven system resolves players' quests.&#10;&#10;Expanded by:&#10;&#10;    Battlemist: The Sails of War&#10;&#10;&#10;Reimplemented by:&#10;&#10;    Runewars&#10;&#10;&#10;";1998;5.89138;3.2;fantasy relative twilight imperium player control race juggle military economic concern quest gather magical star spread land game board hex tile player use resource system similarity settler catan card drive system resolve player quest expand battlemist sail war reimplemente runewar
26;Age of Renaissance;"A game that is often described as a semi-sequel to Civilization.&#10;&#10;Players attempt to build up their cultures during the Middle Ages and Renaissance periods. The game features a card deck that holds events, payout cards, and famous leaders of the particular eras. Although all cards will turn up somewhere during the game, the timing and position in which they will be played is crucial and will ensure a different game every time.&#10;&#10;The main goal of each city-state is to gain points in the form of technical advances, while keeping their culture's misery level as low as possible. The payout structure is similar to those of Civilization and Advanced Civilization in that more resources of the same type yield increasingly higher payouts. This time particular payouts are triggered by card play for every player at once. An ingenious and very smooth working &ldquo;combat&rdquo; system is implemented to determine province &ndash; and thus resource - control.&#10;&#10;";1996;7.09318;3.8495;game describe semi sequel civilization player attempt build culture middle age renaissance period game feature card deck hold event payout card famous leader particular era card turn game timing position play crucial ensure different game time main goal city state gain point form technical advance keep culture s misery level low possible payout structure similar civilization advanced civilization resource type yield increasingly high payout time particular payout trigger card play player ingenious smooth work ldquo combat rdquo system implement determine province ndash resource control
27;Supremacy: The Game of the Superpowers;"Supremacy pits conventional superpowers against one another for control of the earth.  Along the lines of modern warfare Risk, only with an integrated supply/demand economic system.  Warfare comes in all forms from conventional, biological, chemical and all the way to nuclear.  Neat little plastic mushroom clouds are included to show where regions of the earth have been blasted, and if nuclear winter occurs, all players lose.  The game also spawned a great many supplements to expand the game further.&#10;&#10;";1984;5.68325;3.124;supremacy pit conventional superpower control earth line modern warfare risk integrate supply demand economic system warfare come form conventional biological chemical way nuclear neat little plastic mushroom cloud include region earth blast nuclear winter occur player lose game spawn great supplement expand game
28;Illuminati;"In this classic Steve Jackson (I) game of world domination, each player is a secret society attempting to spread its tendrils into special interest groups throughout the world. This latest edition comes with additional cards and reworked graphics to bring the venerable game up to date.&#10;&#10;Re-issue of:&#10;&#10;    Illuminati (Small plastic box with 54 black and white cards and paper money)&#10;&#10;&#10;Expansions:&#10;&#10;    Illuminati: Y2K&#10;    Illuminati: Brainwash (re-work of Illuminati Expansion Set 3)&#10;    Illuminati: Bavarian Fire Drill&#10;    Illuminati: Mutual Assured Distraction&#10;&#10;&#10;Spin Off:&#10;&#10;    Illuminati: Crime Lords&#10;&#10;&#10;";1987;6.46611;2.6568;classic steve jackson game world domination player secret society attempt spread tendril special interest group world late edition come additional card rework graphic bring venerable game date issue illuminati small plastic box black white card paper money expansion illuminati y k illuminati brainwash work illuminati expansion set illuminati bavarian fire drill illuminati mutual assure distraction spin illuminati crime lord
29;Terrain Vague;"Having many system similarities to Full Metal Plan&#195;&#168;te, Terrain Vague is a war game-ish game based on young gangs of kids fighting over turf in a junk yard. Imagine an R-rated Little Rascals movie with weapons and you get the idea.&#10;&#10;A winner of the 1992 Concours International de Cr&#195;&#169;ateurs de Jeux de Soci&#195;&#169;t&#195;&#169;.&#10;&#10;";1993;6.73533;3.25;have system similarity metal plan te terrain vague war game ish game base young gang kid fight turf junk yard imagine r rate little rascal movie weapon idea winner concour international de cr ateurs de jeux de soci t
30;Dark Tower;"An epic fantasy quest to recover an ancient magic scepter from a tyrant king in his Dark Tower, brought to life in electronic form.&#10;&#10;To vanquish the usurper, players search the four realms of the circular game board for three keys to unlock the tower's gate.  On this journey, there are battles to be fought against roving bands of brigands, dragons, plague and hunger.  There are bazaars to visit to purchase supplies and assistants for the quest.  There are uncharted territories to get lost in and tombs and ruins to plunder.  And there is a mighty army to be raised before the player can lay siege to the tower and fight either to glorious victory or crushing defeat.&#10;&#10;Dark Tower was technologically impressive when it was released in 1981.  Gameplay was facilitated by a small computer inside the black plastic shell of the tower itself.  Players input their moves on a small membrane keypad each turn and the computer took over from there, doing everything from conducting the progress of battles to keeping track of how much (or little) food was left to feed the players' always hungry warriors. The computer would play brief musical serenades at significant points of the game.&#10;&#10;";1981;6.88766;1.802;epic fantasy quest recover ancient magic scepter tyrant king dark tower bring life electronic form vanquish usurper player search realm circular game board key unlock tower s gate journey battle fight rove band brigand dragon plague hunger bazaar visit purchase supply assistant quest uncharted territory lose tomb ruin plunder mighty army raise player lay siege tower fight glorious victory crush defeat dark tower technologically impressive release gameplay facilitate small computer inside black plastic shell tower player input move small membrane keypad turn computer take conduct progress battle keep track little food leave feed player hungry warrior computer play brief musical serenade significant point game
31;Dark World;"Along the lines of HeroQuest comes a much more heavily produced game called Dark World. One player is the evil lord who controls the dungeon in which the rest of the players move their characters from room to room, fighting monsters and gaining treasure. Real working treasure chests with magic weapons inside and the figures even get to put their new weapons in their character's hands.&#10;&#10;";1991;5.42229;1.8983;line heroquest come heavily produce game call dark world player evil lord control dungeon rest player character room room fight monster gain treasure real working treasure chest magic weapon inside figure new weapon character s hand
32;Buffalo Chess;"In Buffalo Chess, a.k.a. Bison, one player represents Indians who are trying to keep the village from being overrun by buffalo. This player moves the Indian chief and his dogs while the other player takes charge of the herd of rampaging buffalo, all of which are represented by wooden pieces. Each side has its own style of play as the pieces move differently.&#10;&#10;";1975;6.06547;1.5517;buffalo chess k bison player represent indians try village overrun buffalo player move indian chief dog player take charge herd rampage buffalo represent wooden piece style play piece differently
34;Arkham Horror;"Arkham Horror is a cooperative adventure game themed around H.P Lovecraft's Cthulhu Mythos.  The game has players exploring the town of Arkham as they attempt to stop unmentionable horrors from spilling into the world. It's possible for everyone to go insane and lose in this game.&#10;&#10;Re-implemented in:&#10;&#10;Arkham Horror (2005)&#10;&#10;";1987;6.67203;2.42;arkham horror cooperative adventure game theme h p lovecraft s cthulhu mythos game player explore town arkham attempt stop unmentionable horror spill world s possible insane lose game implement arkham horror
36;Federation & Empire;"This sprawling empire game is set in the  Star Fleet Universe. Players command one or more races in a variety of scenarios as they replay the &quot;historical&quot; situations in the galactic politics of the future.&#10;&#10;It is the base set for the Federation and Empire series of products.&#10;&#10;The Star Fleet Universe series is based on the game Star Fleet Battles, and Federation &amp; Empire is a strategic game based in that background.  Federation &amp; Empire is a stand alone game, and Star Fleet Battles is not required or needed to play this game.&#10;&#10;The two games are closely related, and Star Fleet Battles can be used to resolve some or all of the tactical battles of Federation &amp; Empire, and Federation &amp; Empire can be used as a campaign system for Star Fleet Battles.&#10;&#10;The original version came out in 1986, and was published by Task Force Games.  This was followed in 1990 with the &quot;Deluxe&quot; version, which replaced the original release.  &quot;Deluxe&quot; was indicated on the front of the box to indicate it was the new version.  The Deluxe version included a revised rule book, more counter sheets, and other player aids such as the battle board and player folio.&#10;&#10;The &quot;Deluxe&quot; version had three expansions:&#10;&#10;    Federation & Empire: Carrier War&#10;    Federation & Empire: F & E Module 1 &#226;&#128;&#147; Special Operations&#10;    Federation & Empire: F & E Module 2 &#226;&#128;&#147; Marine Assault&#10;&#10;&#10;In 2000, another revision of the rules was completed, and the F&amp;E 2K (as it is called) version stood for a decade.&#10;&#10;In 2010 the countersheets were entirely redone (with a larger number of counters per sheet) and the rulebook was once again revised to incorporate the last 10 years of errata and rulings, allowing a better integration with the expansions that were released during this period.&#10;&#10;Expanded by:&#10;&#10;&#10;    Federation & Empire: Advanced Operations&#10;    Federation & Empire: Combined Operations (combined and replaced Federation & Empire: F & E Module 1 &#226;&#128;&#147; Special Operations and Federation & Empire: F & E Module 2 &#226;&#128;&#147; Marine Assault)&#10;    Federation & Empire: Fighter Operations (replaced Federation & Empire: Carrier War)&#10;    Federation & Empire: Planetary Operations&#10;    Federation & Empire: Strategic Operations&#10;    Federation & Empire: ISC War&#10;    Federation & Empire: Minor Empires&#10;&#10;&#10;Since 2010 ADB has created, in both print and pdf form, Compendium I, II and III. The first two covered the F&amp;E sections in Captains Log&rsquo;s 21-40. All material for the base game from these is in the 2010 rule book however material for the expansions Advanced, Combined, Planetary and Strategic Operations are in the first two Compendiums&rsquo;. Compendium III has Captains Log&rsquo;s 41-50 which were all printed post 2010 rules.&#10;&#10;Fighter Operations is now updated to the 2010 standard. All relevant items from the first two Compendiums' is included.&#10;&#10;";1986;6.431;4.4032;sprawl empire game set star fleet universe player command race variety scenario replay quot historical quot situation galactic politic future base set federation empire series product star fleet universe series base game star fleet battle federation amp empire strategic game base background federation amp empire stand game star fleet battle require need play game game closely related star fleet battle resolve tactical battle federation amp empire federation amp empire campaign system star fleet battle original version come publish task force game follow quot deluxe quot version replace original release quot deluxe quot indicate box indicate new version deluxe version include revise rule book counter sheet player aid battle board player folio quot deluxe quot version expansion federation empire carrier war federation empire f e module special operation federation empire f e module marine assault revision rule complete f amp e k call version stand decade countersheet entirely redo large number counter sheet rulebook revise incorporate year errata ruling allow well integration expansion release period expand federation empire advanced operation federation empire combine operation combine replace federation empire f e module special operation federation empire f e module marine assault federation empire fighter operation replace federation empire carrier war federation empire planetary operation federation empire strategic operation federation empire isc war federation empire minor empire adb create print pdf form compendium ii iii cover f amp e section captain log rsquo s material base game rule book material expansion advance combine planetary strategic operation compendium rsquo compendium iii captain log rsquo s print post rule fighter operation update standard relevant item compendium include
37;Dragon Masters;"This odd little game put out by Games Workshop Ltd. uses some of the components of their Mighty Empires strategy game.  Players are competing princes in the elven homeland.  Players have to manage an economy based on villages and cities as they recruit dragons to defeat their enemies.&#10;&#10;";1991;5.8;2.0909;odd little game game workshop ltd use component mighty empire strategy game player compete prince elven homeland player manage economy base village city recruit dragon defeat enemy
38;Runes;"Runes is a different kind of word game where players actually construct the letters with special game pieces.  Players attempt to figure out not simply the spelling but the actual letter structure of the hidden words.&#10;&#10;Players take turns putting one letter segment in a letter box on another player's board; they get a point if the segment belongs to that letter and the other player gets a point if it doesn't. When a player thinks they know an opponent's word they guess it and gain points equal to the number of segments in the word (or lose the points if they are incorrect).&#10;&#10;";1981;6.13689;1.9;rune different kind word game player actually construct letter special game piece player attempt figure simply spelling actual letter structure hide word player turn put letter segment letter box player s board point segment belong letter player get point doesn t player think know opponent s word guess gain point equal number segment word lose point incorrect
39;Darkover;"Based on the books of Marion Zimmer Bradley this game melds your typical strategy game with what would normally be found in a party game.  Players vie for control in a world steeped in psychic energy.  Mixing strategic placement of counters with chanting and &quot;I dare you..&quot; party game mechanics makes for a truly unique game.&#10;&#10;";1979;5.36681;2.4444;base book marion zimmer bradley game meld typical strategy game normally find party game player vie control world steep psychic energy mix strategic placement counter chanting quot dare quot party game mechanic make truly unique game
40;Borderlands;"Trying to squeeze Diplomacy into a reasonable amount of time, Eon designed Borderlands to be a game where political wrangling is a must, and a free market society fuels the ambition for conquest.  Borderlands blends the conflict and deal-making elements from Diplomacy with resource management and inspired Settlers of Catan.&#10;&#10;The German edition of the game, Ascalion, contains elements from the two Borderlands expansions.&#10;&#10;Reimplemented by&#10;&#10;    Gearworld: The Borderlands&#10;&#10;&#10;";1982;6.71062;2.7917;try squeeze diplomacy reasonable time eon design borderland game political wrangling free market society fuel ambition conquest borderland blend conflict deal make element diplomacy resource management inspire settler catan german edition game ascalion contain element borderland expansion reimplemente gearworld borderland
41;Can't Stop;"In this Sid Sackson classic, players must press their luck with dice and choose combinations tactically to close out three columns. The board has one column for each possible total of two six-sided dice, but the number of spaces in each column varies: the more probable a total, the more spaces in that column and the more rolls it takes to complete. On their turn, a player rolls four dice and arranges them in duos: 1 4 5 6 can become 1+4 and 5+6 for 5 &amp; 11, 1+5 and 4+6 for 6 &amp; 10, or 1+6 and 4+5 for 7 &amp; 9. The player places or advances progress markers in the open column(s) associated with their chosen totals, then chooses whether to roll again or end their turn and replace the progress markers with markers of their color. A player can only advance three different columns in a turn and cannot advance a column which any player has closed out by reaching the end space; if a roll doesn&rsquo;t result in any legal plays, the turn ends with that turn&rsquo;s progress lost.&#10;&#10;A predecessor from 1974, The Great Races, exists as a paper-and-pencil game.&#10;&#10;";1980;6.92626;1.1442;sid sackson classic player press luck dice choose combination tactically close column board column possible total sided dice number space column vary probable total space column roll take complete turn player roll dice arrange duos amp amp amp player place advance progress marker open column s associate choose total choose roll end turn replace progress marker marker color player advance different column turn advance column player close reach end space roll doesn rsquo t result legal play turn end turn rsquo s progress lose predecessor great race exist paper pencil game
42;Tigris & Euphrates;"Regarded by many as Reiner Knizia's masterpiece, Tigris &amp; Euphrates is set in the ancient fertile crescent with players building civilizations through tile placement. Players are given four different leaders: farming, trading, religion, and government. The leaders are used to collect victory points in these same categories. However, your score at the end of the game is the number of points in your weakest category, which encourages players not to get overly specialized. Conflict arises when civilizations connect on the board, i.e., external conflicts, with only one leader of each type surviving such a conflict. Leaders can also be replaced within a civilization through internal conflicts.&#10;&#10;Starting in the Mayfair edition from 2008, Tigris &amp; Euphrates included a double-sided game board and extra components for playing an advanced version of the game. This &quot;ziggurat expansion&quot;, initially released as a separate item in Germany for those who already owned the base game, is a special monument that extends across five spaces of the board. The monument can be built if a player has a cross of five civilization tokens of the same color by discarding those five tokens and replacing them with the ziggurat markers, placing a ziggurat tower upon the middle tile. The five ziggurat markers cannot be destroyed. All rules regarding monuments apply to the ziggurat monument as well. If your king is inside the kingdom of the ziggurat, you will get one victory point in a color of your choice at the end of your turn.&#10;&#10;Some versions of Tigris &amp; Euphrates are listed as being for 2-4 players, while others incorrectly state that they're for 3-4 players. Tigris &amp; Euphrates is part of what is sometimes called Reiner Knizia's tile-laying trilogy.&#10;&#10;";1997;7.70242;3.4957;regard reiner knizia s masterpiece tigris amp euphrate set ancient fertile crescent player build civilization tile placement player give different leader farm trading religion government leader collect victory point category score end game number point weak category encourage player overly specialize conflict arise civilization connect board e external conflict leader type survive conflict leader replace civilization internal conflict start mayfair edition tigris amp euphrate include double sided game board extra component play advanced version game quot ziggurat expansion quot initially release separate item germany own base game special monument extend space board monument build player cross civilization token color discard token replace ziggurat marker place ziggurat tower middle tile ziggurat marker destroy rule monument apply ziggurat monument king inside kingdom ziggurat victory point color choice end turn version tigris amp euphrate list player incorrectly state player tigris amp euphrate call reiner knizia s tile lay trilogy
43;Airlines;"Airlines' theme is exactly as suggested by the title. The game is similar to the Sid Sackson classic, Acquire, in that players are competing to become majority stockholders in several highly-abstracted companies with the player owning the most valuable portfolio at the end being the winner.&#10;&#10;Each turn, a player chooses from one of two actions: expand an airline and put stock into his hand, or play stock from his hand. Expanding an airline adds to its route(s) on the board and increases its value but the trick is that when a scoring card shows up (randomly), only played stock counts as a player's holdings.&#10;&#10;";1990;6.57678;2.4242;airlines theme exactly suggest title game similar sid sackson classic acquire player compete majority stockholder highly abstract company player own valuable portfolio end winner turn player choose action expand airline stock hand play stock hand expand airline add route s board increase value trick scoring card show randomly play stock count player s holding
44;David & Goliath;"This game adds a very interesting twist to the standard trick-taking genre.  There are five suits and players must follow suit, if they can.  However, the winner of the trick is the highest card played, regardless of suit.  The winner gets all the cards from the trick, minus the card he won it with.  That card is given to the player that played the lowest card.  After all tricks have been played, the scoring begins.  Players score the face-value of the cards in the suits that they only collected one or two of, and one point per card for suits with more than two.  The player with the most points after a number of hands wins the game.&#10;&#10;";1997;6.49319;1.623;game add interesting twist standard trick take genre suit player follow suit winner trick high card play regardless suit winner get card trick minus card win card give player play low card trick play scoring begin player score face value card suit collect point card suit player point number hand win game
45;Perudo;"Liar's Dice, a.k.a. Bluff, Perudo or Dudo, is a South American dice game in which each player is given five dice and cup to roll and hide them with. Players make successively higher declarations regarding the results of all the dice remaining in the game, e.g. &quot;there are ten sixes&quot;. However, someone can always contest the bid. When that happens, all the dice are revealed and either the bidder or the caller loses dice, depending on who was correct. The last player with dice is the winner.&#10;&#10;As a public domain dice game, there are a number of variants or similar games called Liar's Dice. This includes one that is often played with Poker Dice, and differs from the marketed versions in that players only declare on their own hand's value (as opposed to all dice being in play), using poker-hand values.&#10;&#10;";1800;6.92206;1.252;liar s dice k bluff perudo dudo south american dice game player give dice cup roll hide player successively high declaration result dice remain game e g quot six quot contest bid happen dice reveal bidder caller lose dice depend correct player dice winner public domain dice game number variant similar game call liar s dice include play poker dice differ marketed version player declare hand s value oppose dice play poker hand value
46;Medici;"Another Reiner Knizia standby, this game plays very well with varying numbers of people.  The object is to accrue the most points during three rounds, which you do by spending your points to bid on sets of cards.  Each turn the current player turns up one to three cards for all the players to bid on, with the highest bid taking all cards.  The cards denote a commodity type and quantity/value.  The round ends when each player's ships are full, or the commodity card deck is exhausted.  After each round, points are awarded to each player having the most of a given commodity, and to the one with the most valuable total &quot;cargo load&quot;.&#10;&#10;Part of the Knizia auction trilogy.&#10;One of the Knizia Florentine auction games.&#10;&#10; Related Games: &#10;&#10;&#10;     Medici vs Strozzi (two-player version)&#10;     Strozzi&#10;     Mercator, included in Neue Spiele im alten Rom (ancestor to Medici).&#10;&#10;&#10;";1995;7.18278;2.2212;reiner knizia standby game play vary number people object accrue point round spend point bid set card turn current player turn card player bid high bid take card card denote commodity type quantity value round end player s ship commodity card deck exhaust round point award player have give commodity valuable total quot cargo load quot knizia auction trilogy knizia florentine auction game relate game medici vs strozzi player version strozzi mercator include neue spiele m alten rom ancestor medici
47;Chinatown;"This is a negotiation game in the truest sense of the word. In it, players acquire ownership of sections of city blocks then place tiles, representing businesses, onto the block-sections.  At the end of each turn, each tile you've laid gives you some sort of payout, but completed businesses (formed of three to six connected tiles of the same type) pay quite a bit better.  All these resources are dealt to the players randomly, however, so players must trade to get matching businesses and adjacent locations.&#10;&#10;This game is #2 in the Alea big box series.&#10;&#10;";1999;7.43721;2.2346;negotiation game true sense word player acquire ownership section city block place tile represent business block section end turn tile ve lay give sort payout complete business form connect tile type pay bit well resource deal player randomly player trade match business adjacent location game alea big box series
48;Krieg und Frieden;"Taking on the roles of land-owners in a feudal society, players are charged with running their lands and accruing favor from the bishop by building his cathedral.  Each turn, players use their resources to bid for that year's agenda, and some resources have more or less value in the bid depending on what type of agenda is available.  Then players use their remaining resources to build their lands, sack others' lands, bribe others' knights away from defense, or help to build the bishop's cathedral.  Finally, players harvest new resources for the next turn.  After all the pieces of the cathedral have been built, the game is over with the victory going to the player with the most victory points.  This game was originally released as Charlemagne by Think Games at Essen 1998, and later slightly shortened as Krieg und Frieden.&#10;&#10;Re-implements:&#10;&#10;    Charlemagne&#10;&#10;&#10;";1999;6.09079;2.4638;take role land owner feudal society player charge run land accrue favor bishop build cathedral turn player use resource bid year s agenda resource value bid depend type agenda available player use remain resource build land sack land bribe knight away defense help build bishop s cathedral finally player harvest new resource turn piece cathedral build game victory go player victory point game originally release charlemagne think game essen later slightly shorten krieg und frieden implement charlemagne
49;Mamma Mia!;"Designer Uwe Rosenberg has a talent for dreaming up new and inventive card games, and Mamma Mia! is a perfect example of this talent, with players placing pizza ingredients into a combined pool, then trying to time their pizza baking in order to make use of what's available in the kitchen.&#10;&#10;Each player starts the game with eight different pizza orders to fill, with one of those order cards in hand; each player also starts with a hand of ingredient cards (showing pepperoni, mushroom, pineapple, green pepper or olive). On a turn, a player lays down one or more ingredient cards of a single type into a common stack, then optionally adds a pizza order card to that stack. He then refills his hand by drawing as many cards as he played from either the shared ingredient deck or his own order deck.&#10;&#10;After the draw pile is exhausted, the shared pile of cards is flipped over and sorted by ingredients until an order comes up. If enough ingredient cards are available to fill that order, the owner scores it; if not, the player can make up the difference by playing cards from his hand (and thereby scoring the order) or else return the card to the bottom of his order deck.&#10;&#10;Once all the orders are scored or returned, shuffle the ingredients used in pizzas and start another round of play. After three complete rounds, the player who's filled the most orders wins!&#10;&#10;";1998;6.48076;1.362;designer uwe rosenberg talent dream new inventive card game mamma mia perfect example talent player place pizza ingredient combine pool try time pizza bake order use s available kitchen player start game different pizza order fill order card hand player start hand ingredient card show pepperoni mushroom pineapple green pepper olive turn player lay ingredient card single type common stack optionally add pizza order card stack refill hand draw card play share ingredient deck order deck draw pile exhaust share pile card flip sort ingredient order come ingredient card available fill order owner score player difference play card hand score order return card order deck order score return shuffle ingredient pizza start round play complete round player s fill order win
50;Lost Cities;"Lost Cities is a card game in the Kosmos two-player series. The game originally consisted of a single deck of cards of rank 2&ndash;10 in five different colors with three special &quot;handshakes&quot; (&quot;HS&quot; in scoring examples below) in each suit, but as of 2018 the game now includes six colored suits, with the sixth color being optional for gameplay. A game board is included to organize discarded cards and help players organize their card collections.&#10;&#10;The object of the game is to gain points by mounting profitable archaeological expeditions to the different sites represented by the colored suits of cards. On a player's turn, they must first play one card, either to an expedition or by discarding it to the color-appropriate discard pile, then draw one card, either from the deck or from the top of a discard pile. Cards played to expeditions must be in ascending order, but they need not be consecutive. Handshakes are considered lower than a 2 and represent investments in an expedition. Thus, if you play a red 4, you may play any other red card higher than a 4 on a future turn but may no longer play a handshake, the 2, or the 3.&#10;&#10;The game continues in this fashion with players alternating turns until the final card is taken from the deck. The rest of the cards in hand are then discarded and players score their expeditions. Each expedition that has at least one card played into it must be scored. Cards played into an expedition are worth their rank in points, and handshakes count as a multiplier against your final total; one handshake doubles an expedition's value, while two handshakes triples that value and three handshakes quadruple it. Expeditions start at a value of -20, so you must play at least 20 points of cards into an expedition in order to make a profit. If you are left with a negative value and have a handshake, the multiplier still applies. A 20-point bonus is awarded to every expedition with at least eight cards played into it. A complete game of Lost Cities lasts three matches, with scores for each match being added together.&#10;&#10;Scoring example 1: An expedition has a 2,3,7,8,10 for a total of 30. This expedition is worth 10 total points: 30 plus the initial -20.&#10;&#10;Scoring example 2: An expedition has 2 HS, and 4,5,6,7,8,10 for a total of 40. This expedition is worth 80 total points: 40 points for cards, plus the initial -20, &times;3 for the two multipliers, plus the 20-pt bonus for playing 8+ cards.&#10;&#10;Scoring example 3: An expedition has 1 HS, and 4,6,7 for a total of 17. This expedition is worth -6 total points: 17 plus the initial -20, &times;2 for the multiplier.&#10;&#10;";1999;7.24938;1.476;lose city card game kosmos player series game originally consist single deck card rank ndash different color special quot handshakes quot quot hs quot scoring example suit game include colored suit sixth color optional gameplay game board include organize discard card help player organize card collection object game gain point mount profitable archaeological expedition different site represent colored suit card player s turn play card expedition discard color appropriate discard pile draw card deck discard pile card play expedition ascend order need consecutive handshake consider low represent investment expedition play red play red card high future turn long play handshake game continue fashion player alternate turn final card take deck rest card hand discard player score expedition expedition card play score card play expedition worth rank point handshake count multipli final total handshake double expedition s value handshake triple value handshake quadruple expedition start value play point card expedition order profit leave negative value handshake multipli apply point bonus award expedition card play complete game lost city last match score match add score example expedition total expedition worth total point plus initial scoring example expedition hs total expedition worth total point point card plus initial time multiplier plus pt bonus play card score example expedition hs total expedition worth total point plus initial time multipli
51;Ricochet Robots;"Ricochet Robots is less of a game and more of a puzzle, which explains why there's such an odd number of solutions possible. There's a four-piece modular board that forms a large room with walls spread around the board. There are also color-coded targets on boards. Placed on top of the surface are four robots. The idea for each turn/puzzle is to get the like-colored robot to a randomly selected target. The trick is that once a robot starts moving, it will continue to move until a wall or another robot stops it. Therefore, players are seeking a sequence of moves for the robots that will enable them to move the required robot to the target in the fewest moves.&#10;&#10;";1999;7.03449;2.3801;ricochet robot game puzzle explain s odd number solution possible s piece modular board form large room wall spread board color code target board place surface robot idea turn puzzle like colored robot randomly select target trick robot start move continue wall robot stop player seek sequence move robot enable require robot target few move
52;Mighty Empires;"Mighty Empires is both a strategic layer to the Warhammer Fantasy Battle (Third Edition) system and a boardgame in its own right.  It allows players of the miniature game to manage a kingdom, explore the world, and attempt to conquer other kingdoms, but it also can be played standalone as a fantasy wargame.  The game board is constructed with hexagonal tiles to create a unique land with mountains, hills, river valleys, lowlands, and coastal areas.  The game comes with some nifty bits representing armies, castles, cities and villages.&#10;&#10;";1990;6.19015;2.6087;mighty empire strategic layer warhammer fantasy battle edition system boardgame right allow player miniature game manage kingdom explore world attempt conquer kingdom play standalone fantasy wargame game board construct hexagonal tile create unique land mountain hill river valley lowland coastal area game come nifty bit represent army castle city village
53;Brauerei;"Brauerei, a game about the German beer market, has players attempting to bring their beer brands to the national markets.  First though they have to master the local and regional markets, making sure everyone is supplied with beer and attempting to anticipate and evolve the public's taste in beer.&#10;&#10;";1996;6.00625;2.5;brauerei game german beer market player attempt bring beer brand national market master local regional market make sure supply beer attempt anticipate evolve public s taste beer
54;Tikal;"Tikal is a game of exploration within the Central American jungles in search of lost temples and the treasures within. Players send their team of explorers into the jungle, exposing more and more of the terrain.  Along the way, you find temples that require further uncovering and treasures.  Players attempt to score points for occupying temples and holding onto treasure.&#10;&#10;Tikal is the first game of the Mask Trilogy.&#10;&#10;Sequel:&#10;&#10;     Tikal II: The Lost Temple&#10;&#10;&#10;";1999;7.32061;2.7769;tikal game exploration central american jungle search lose temple treasure player send team explorer jungle expose terrain way find temple require uncovering treasure player attempt score point occupy temple hold treasure tikal game mask trilogy sequel tikal ii lose temple
55;Sophie's World;"Loosely based on the book by Jostein Gaarder, Sophie's World can best be described as a specialized game of Trivial Pursuit: Genus Edition aimed at the Philosophical and Hellenistic crowd.&#10;&#10;";1998;4.84712;1.5;loosely base book jostein gaarder sophie s world well describe specialized game trivial pursuit genus edition aim philosophical hellenistic crowd
57;Schoko & Co.;"Schoko &amp; Co is all about producing chocolate in order to make money. Players are chocolate barons who have to contend with every element of the business from production to sales. Buy cocoa, convert it into chocolate and then sell it at sales meetings to big distributors, all along financing the staff and labor to pull it all off. Whoever is the most efficient gets the most money and the win.&#10;&#10;Ambition is the title of the French language edition by the same publisher.&#10;&#10;A winner of the 1986 Concours International de Cr&#195;&#169;ateurs de Jeux de Soci&#195;&#169;t&#195;&#169;.&#10;&#10;";1987;6.63882;2.9216;schoko amp co produce chocolate order money player chocolate baron contend element business production sale buy cocoa convert chocolate sell sale meeting big distributor finance staff labor pull efficient get money win ambition title french language edition publisher winner concour international de cr ateurs de jeux de soci t
58;Kings & Things;"Kings &amp; Things is a classic Tom Wham game of warring kingdoms in a fantasy world and the legions of things that inhabit them. The board is made from hex tiles, which allows for a different board layout every time. Utilizing an interesting flipped counter element, players attempt to out bluff one another regarding the types of things they have in their armies.&#10;&#10;Reimplements:&#10;&#10;    King of the Tabletop&#10;&#10;&#10;";1986;6.51921;2.6442;king amp thing classic tom wham game war kingdom fantasy world legion thing inhabit board hex tile allow different board layout time utilize interesting flip counter element player attempt bluff type thing army reimplement king tabletop
